side,row,col,char
RIGHT,0,3,D
RIGHT,0,4,E
RIGHT,0,5,F
RIGHT,0,6,G
RIGHT,0,7,H
RIGHT,0,8,I
RIGHT,0,9,J
RIGHT,0,10,K
RIGHT,0,11,L
RIGHT,0,12,M
RIGHT,0,13,N
RIGHT,0,14,O
RIGHT,0,15,P
RIGHT,0,16,Q
RIGHT,0,17,R
RIGHT,0,18,S
RIGHT,0,19,T
RIGHT,0,20,U
RIGHT,0,21,V
RIGHT,0,22,W
RIGHT,0,23,X
RIGHT,0,24,Y
RIGHT,0,25,Z
RIGHT,0,26,A
RIGHT,0,27,B
RIGHT,0,28,C
RIGHT,0,29,D
RIGHT,1,0,A
RIGHT,1,1,K
RIGHT,1,2,R
RIGHT,1,3,Y
RIGHT,1,4,P
RIGHT,1,5,T
RIGHT,1,6,O
RIGHT,1,7,S
RIGHT,1,8,A
RIGHT,1,9,B
RIGHT,1,10,C
RIGHT,1,11,D
RIGHT,1,12,E
RIGHT,1,13,F
RIGHT,1,14,G
RIGHT,1,15,H
RIGHT,1,16,I
RIGHT,1,17,J
RIGHT,1,18,L
RIGHT,1,19,M
RIGHT,1,20,N
RIGHT,1,21,Q
RIGHT,1,22,U
RIGHT,1,23,V
RIGHT,1,24,W
RIGHT,1,25,X
RIGHT,1,26,Z
RIGHT,1,27,K
RIGHT,1,28,R
RIGHT,1,29,Y
RIGHT,1,30,P
RIGHT,2,0,B
RIGHT,2,1,R
RIGHT,2,2,Y
RIGHT,2,3,P
RIGHT,2,4,T
RIGHT,2,5,O
RIGHT,2,6,S
RIGHT,2,7,A
RIGHT,2,8,B
RIGHT,2,9,C
RIGHT,2,10,D
RIGHT,2,11,E
RIGHT,2,12,F
RIGHT,2,13,G
RIGHT,2,14,H
RIGHT,2,15,I
RIGHT,2,16,J
RIGHT,2,17,L
RIGHT,2,18,M
RIGHT,2,19,N
RIGHT,2,20,Q
RIGHT,2,21,U
RIGHT,2,22,V
RIGHT,2,23,W
RIGHT,2,24,X
RIGHT,2,25,Z
RIGHT,2,26,K
RIGHT,2,27,R
RIGHT,2,28,Y
RIGHT,2,29,P
RIGHT,2,30,T
RIGHT,3,0,C
RIGHT,3,1,Y
RIGHT,3,2,P
RIGHT,3,3,T
RIGHT,3,4,O
RIGHT,3,5,S
RIGHT,3,6,A
RIGHT,3,7,B
RIGHT,3,8,C
RIGHT,3,9,D
RIGHT,3,10,E
RIGHT,3,11,F
RIGHT,3,12,G
RIGHT,3,13,H
RIGHT,3,14,I
RIGHT,3,15,J
RIGHT,3,16,L
RIGHT,3,17,M
RIGHT,3,18,N
RIGHT,3,19,Q
RIGHT,3,20,U
RIGHT,3,21,V
RIGHT,3,22,W
RIGHT,3,23,X
RIGHT,3,24,Z
RIGHT,3,25,K
RIGHT,3,26,R
RIGHT,3,27,Y
RIGHT,3,28,P
RIGHT,3,29,T
RIGHT,3,30,O
RIGHT,4,0,D
RIGHT,4,1,P
RIGHT,4,2,T
RIGHT,4,3,O
RIGHT,4,4,S
RIGHT,4,5,A
