index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
65,-21.452036,-19.500000,74.493164,-0.637018,-0.579052,2.212075,315.521478,9.369410,away_arc
66,-23.235065,-19.000000,69.744812,-0.689965,-0.564205,2.071072,320.618147,9.520756,away_arc
67,-21.144131,-18.500000,78.436928,-0.627875,-0.549357,2.329185,329.572190,9.786646,away_arc
68,-22.935062,-18.000000,73.534241,-0.681057,-0.534510,2.183599,334.815641,9.942350,away_arc
69,-20.978449,-17.500000,73.534187,-0.622955,-0.519663,2.183598,336.835130,10.002319,away_arc
70,-22.702528,-17.000000,79.801071,-0.674152,-0.504815,2.369693,343.354048,10.195898,away_arc
71,-20.650316,-16.500000,78.921074,-0.613211,-0.489968,2.343561,345.642272,10.263847,away_arc
72,-22.456190,-16.000000,82.065079,-0.666837,-0.475120,2.436923,349.302319,10.372532,away_arc
73,-20.427235,-15.500000,78.741074,-0.606587,-0.460272,2.338216,353.228598,10.489123,away_arc
74,-22.255766,-15.000000,68.161247,-0.660885,-0.445425,2.024048,363.976912,10.808294,away_arc
75,-20.228558,-14.500000,74.893219,-0.600687,-0.430578,2.223954,371.025247,11.017595,away_arc
76,-22.071589,-14.000000,73.282753,-0.655416,-0.415730,2.176131,373.523319,11.091775,away_arc
77,-21.987604,-13.500000,68.276199,-0.652922,-0.400882,2.027462,378.555479,11.241205,away_arc
78,-21.919247,-13.000000,75.626312,-0.650892,-0.386035,2.245723,385.922895,11.459980,away_arc
79,-19.905617,-12.500000,70.641228,-0.591097,-0.371188,2.097691,391.322504,11.620322,away_arc
80,-21.776251,-12.000000,70.540543,-0.646646,-0.356340,2.094701,393.261424,11.677898,away_arc
81,-19.778297,-11.500000,84.144852,-0.587317,-0.341492,2.498681,407.020749,12.086481,away_arc
82,-19.723200,-11.000000,78.822762,-0.585680,-0.326645,2.340642,412.366559,12.245225,away_arc
83,-21.619078,-10.500000,79.686089,-0.641979,-0.311798,2.366278,414.508914,12.308842,away_arc
84,-20.592045,-10.000000,82.889297,-0.611481,-0.296950,2.461398,417.909700,12.409829,away_arc
85,-21.522430,-9.500000,77.763992,-0.639109,-0.282102,2.309202,423.142708,12.565223,away_arc
86,-21.515013,-9.000000,78.541077,-0.638888,-0.267255,2.332277,424.066783,12.592663,away_arc
87,-21.311218,-8.500000,74.893181,-0.632837,-0.252408,2.223953,427.754422,12.702168,away_arc
