config,weights,candidate,score,delta_windowed,delta_shuffled,pass_deltas,ngram_contrib,coverage_contrib,compress_contrib
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0043,2.4356373158790494,0.00911753293297668,3.0244840691710486,False,1.5581372627368357,0.9376929796850979,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0050,2.4356373158790494,0.00911753293297668,2.9436501147139724,False,1.5581372627368357,0.9376929796850979,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0053,2.714382289812061,0.00911753293297668,3.30322904310406,False,1.6793881944224494,1.0951870219324962,-0.06019292654288461
sweep_0.3_0.2_0.5,"0.30,0.20,0.50",B0006,2.6718214888152367,0.00911753293297668,3.184882246120607,False,1.6508268638476158,1.0811875515105054,-0.06019292654288461
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0002,3.0312263034919855,0.00911753293297668,3.6081339857900705,False,1.6109487796487916,1.4684318650775017,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0008,3.385996398110451,0.00911753293297668,3.962904080408536,False,1.730583032245264,1.7035677070994943,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0019,3.0573644503929778,0.00911753293297668,3.1688370187879,False,1.8244138185954382,1.2811049730318476,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0033,2.6265850666958928,0.00911753293297668,2.164037076979637,False,1.5605147319855728,1.1142246759446277,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0027,3.2740143860868858,0.00911753293297668,3.924210645328372,False,1.6793881944224494,1.6427805328987442,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0038,2.916522391030175,0.00911753293297668,3.326318363537616,False,1.5581372627368357,1.4065394695276467,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0043,2.916522391030175,0.00911753293297668,3.6475526047287374,False,1.5581372627368357,1.4065394695276467,-0.048154341234307695
sweep_0.3_0.3_0.4,"0.30,0.30,0.40",B0050,2.916522391030175,0.00911753293297668,3.5667186502716612,False,1.5581372627368357,1.4065394695276467,-0.048154341234307695
