label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
H1369,41,3.087331359993718,3.087331359993718,-1.2504511785913885,0.0,4.337782538585107,False,4.542049347697108,2.98116901008577,0.0,0.0
H1493,41,3.064838663931922,3.064838663931922,0.6464462789782358,0.0,2.418392384953686,False,4.094516316118457,3.492303776224618,0.0,0.0
H1524,41,2.707044327634728,2.707044327634728,1.0717187034608169,0.0,1.6353256241739111,False,4.094516316118457,2.4700342439469205,0.0,0.0
H1535,41,3.064838663931922,3.064838663931922,1.310797840794734,0.0,1.7540408231371878,False,4.094516316118457,3.492303776224618,0.0,0.0
H1570,41,2.6063493955295316,2.6063493955295316,0.4990519403204747,0.0,2.107297455209057,False,3.870749800329132,2.4700342439469205,0.0,0.0
H1707,41,2.8634487997215294,2.8634487997215294,-0.3065075165210965,0.0,3.169956316242626,False,3.646983284539807,3.492303776224618,0.0,0.0
H2065,41,2.4049595313191388,2.4049595313191388,-0.10442272020550733,0.0,2.509382251524646,False,3.423216768750481,2.4700342439469205,0.0,0.0
H2096,41,3.064838663931922,3.064838663931922,-0.25980810996853193,0.0,3.324646773900454,False,4.094516316118457,3.492303776224618,0.0,0.0
H2277,41,2.785246563678129,2.785246563678129,0.34436148266264643,0.0,2.4408850810154825,False,3.870749800329132,2.98116901008577,0.0,0.0
H2514,41,3.064838663931922,3.064838663931922,1.6820747397246834,0.0,1.3827639242072385,False,4.094516316118457,3.492303776224618,0.0,0.0
H2554,41,3.366923460247511,3.366923460247511,-1.010677109152275,0.0,4.377600569399786,False,4.7658158634864325,3.492303776224618,0.0,0.0
H2579,41,2.4049595313191388,2.4049595313191388,0.27516938004828606,0.0,2.1297901512708526,False,3.423216768750481,2.4700342439469205,0.0,0.0
H2642,41,1.8609719078732805,1.8609719078732805,-1.1812590759770283,0.0,3.0422309838503088,False,1.409318126646554,3.5050821453780894,0.0,0.0
H2646,41,2.908434191845121,2.908434191845121,-0.10511765231070383,0.0,3.013551844155825,False,4.542049347697108,2.4700342439469205,0.0,0.0
H2696,41,2.8077392597399244,2.8077392597399244,-0.10511765231070383,0.0,2.9128569120506285,False,4.318282831907783,2.4700342439469205,0.0,0.0
H2775,41,3.0558285305028816,3.0558285305028816,0.39835700821527825,0.0,2.6574715222876035,False,3.870749800329132,3.7542603438707784,0.0,0.0
H0002,42,2.5184576992527052,2.5184576992527052,-0.7923287974745612,0.0,3.3107864967272667,False,3.7322276715071685,2.3970149916413703,0.0,0.0
H0230,42,2.715052566696184,2.715052566696184,-0.46886670558438803,0.0,3.1839192722805723,False,4.169105154714899,2.3970149916413703,0.0,0.0
H0426,42,2.5184576992527052,2.5184576992527052,1.0725659841515711,0.0,1.4458917151011341,False,3.7322276715071685,2.3970149916413703,0.0,0.0
H0433,42,2.3218628318092267,2.3218628318092267,-0.02790648338001861,0.0,2.349769315189245,False,3.295350188299438,2.3970149916413703,0.0,0.0
H0563,42,2.5881853422494894,2.5881853422494894,-0.7923287974745612,0.0,3.380514139724051,False,3.295350188299438,3.157936450042121,0.0,0.0
H0701,42,1.9917881048734705,1.9917881048734705,-1.4518410428017814,0.0,3.443629147675252,False,1.766278997072383,3.4198930176882807,0.0,0.0
