label,category,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,r4,-0.3550085889807483,0.5,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_053,NORTHEAST,shuffled,-0.43000858898074823,0.0,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,fixed,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,r1,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,r2,-0.3800085889807482,0.3333333333333333,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,r3,-0.3633419223140816,0.4444444444444445,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,r4,-0.3550085889807483,0.5,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-2_054,NORTHEAST,shuffled,-0.43000858898074823,0.0,-1.6752989429629517,1.367735253261782,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,fixed,-0.43148752504910665,0.3333333333333333,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,r1,-0.3714875250491067,0.7333333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,r2,-0.40648752504910673,0.5,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,r3,-0.3981541917157733,0.5555555555555556,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,r4,-0.39398752504910667,0.5833333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_055,NORTHEAST,shuffled,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,fixed,-0.43148752504910665,0.3333333333333333,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,r1,-0.3714875250491067,0.7333333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,r2,-0.40648752504910673,0.5,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,r3,-0.3981541917157733,0.5555555555555556,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,r4,-0.39398752504910667,0.5833333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,shuffled,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,fixed,-0.43148752504910665,0.3333333333333333,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,r1,-0.3714875250491067,0.7333333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,r2,-0.40648752504910673,0.5,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,r3,-0.3981541917157733,0.5555555555555556,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,r4,-0.39398752504910667,0.5833333333333334,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT-1_057,NORTHEAST,shuffled,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,fixed,-0.7403902828385233,0.6666666666666666,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,r1,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,r2,-0.7153902828385234,0.8333333333333334,-2.738714521598261,1.6403565193742373,-0.12038585308576924
CORRIDOR_NORTHEAST_SHIFT+1_058,NORTHEAST,r3,-0.70705694950519,0.888888888888889,-2.738714521598261,1.6403565193742373,-0.12038585308576924
